Locus	Gene Symbol	Common Name	5' End	3' End	EC Number	Organism	HMM Hit	HMM Score	
COXBURSA331_A1037	 	hypothetical protein	921376	920402	 	Coxiella burnetii RSA 331	TIGR02906	-144.6	
CHU_2334	 	conserved hypothetical protein	2694695	2696080	 	Cytophaga hutchinsonii ATCC 33406	TIGR02906	-184.4	
NT02CH2451	 	tetratricopeptide repeat domain protein	2694701	2696080	 	Cytophaga hutchinsonii ATCC 33406	TIGR02906	-184.4	
DR_0669	 	hypothetical protein	679913	680773	 	Deinococcus radiodurans R1	TIGR02906	-190.5	
DSY0988	 	hypothetical protein	1192814	1193830	 	Desulfitobacterium hafniense Y51	TIGR02906	-182.0	
NT01DH1170	 	phosphotransferase enzyme family, putative	1192814	1193830	 	Desulfitobacterium hafniense Y51	TIGR02906	-182.0	
DP2064	 	conserved hypothetical protein	2339645	2340487	 	Desulfotalea psychrophila LSv54	TIGR02906	-172.2	
NT06EC0022	 	YihE	23805	24800	 	Erwinia carotovora atroseptica SCRI1043	TIGR02906	-173.7	
ECA0019	 	conserved hypothetical protein	23805	24800	 	Erwinia carotovora atroseptica SCRI1043	TIGR02906	-173.7	
ECA4376	 	conserved hypothetical protein	4906351	4905344	 	Erwinia carotovora atroseptica SCRI1043	TIGR02906	-177.6	
NT06EC4563	 	conserved hypothetical protein	4906492	4905344	 	Erwinia carotovora atroseptica SCRI1043	TIGR02906	-177.6	
ELI_01555	 	hypothetical protein	355672	354695	 	Erythrobacter litoralis HTCC2594	TIGR02906	-146.0	
NT01EL0328	thrB	homoserine kinase	355672	354695	2.7.1.39	Erythrobacter litoralis HTCC2594	TIGR02906	-146.0	
NT12EC4219	 	protein RdoA	4248108	4249094	 	Escherichia coli 536	TIGR02906	-152.6	
ECP_4069	 	hypothetical protein YihE	4248108	4249094	 	Escherichia coli 536	TIGR02906	-152.6	
c_4803	yihE	Hypothetical protein yihE	4567906	4568892	 	Escherichia coli CFT073	TIGR02906	-156.4	
NT04EC4905	 	conserved hypothetical protein	4567906	4568892	 	Escherichia coli CFT073	TIGR02906	-156.4	
Z5391	yihE	orf, hypothetical protein	4907131	4908117	 	Escherichia coli O157:H7 EDL933	TIGR02906	-154.0	
NT02EC5104	 	conserved hypothetical protein	4907131	4908117	 	Escherichia coli O157:H7 EDL933	TIGR02906	-154.0	
ECs4782	 	hypothetical protein	4838367	4839353	 	Escherichia coli O157:H7 VT2-Sakai	TIGR02906	-154.0	
NT03EC5844	 	conserved hypothetical protein	4838367	4839353	 	Escherichia coli O157:H7 VT2-Sakai	TIGR02906	-154.0	
EcSMS35_4240	 	protein serine/threonine kinase RdoA	4337198	4338184	 	Escherichia coli SMS-3-5	TIGR02906	-154.3	
NT10EC4203	 	protein RdoA	4328572	4329558	 	Escherichia coli UTI89	TIGR02906	-152.6	
UTI89_C4446	rdoA	hypothetical protein	4328572	4329558	2.7.1.39	Escherichia coli UTI89	TIGR02906	-152.6	
NT11EC3551	 	protein RdoA	3594266	3593280	 	Escherichia coli W3110	TIGR02906	-153.4	
ECK3851:JW3831:b3859	yihE	predicted kinase	3594266	3593280	 	Escherichia coli W3110	TIGR02906	-153.4	
FN1670	 	Choline kinase	168356	166560	2.7.7.15	Fusobacterium nucleatum ATCC 25586	TIGR02906	-160.2	
NT01FN0156	 	Choline/ethanolamine kinase family	168356	166560	 	Fusobacterium nucleatum ATCC 25586	TIGR02906	-160.2	
FN1827	 	Replicative DNA helicase	317329	315989	3.6.1.-	Fusobacterium nucleatum ATCC 25586	TIGR02906	-180.4	
NT01FN0287	dnaB	replicative DNA helicase	317329	315989	3.6.1.-	Fusobacterium nucleatum ATCC 25586	TIGR02906	-180.4	
NT01FN1430	 	hypothetical protein	1577616	1576678	 	Fusobacterium nucleatum ATCC 25586	TIGR02906	-143.5	
FN0922	 	Homoserine kinase	1577616	1576678	2.7.1.39	Fusobacterium nucleatum ATCC 25586	TIGR02906	-143.5	
FN1237	 	Choline kinase	1895147	1893543	2.7.7.15	Fusobacterium nucleatum ATCC 25586	TIGR02906	-172.5	
NT01FN1731	 	probable choline kinase, putative	1895147	1893543	 	Fusobacterium nucleatum ATCC 25586	TIGR02906	-172.5	
GK0837	 	spore coat protein	865414	864320	 	Geobacillus kaustophilus HTA426	TIGR02906	513.1	
NT01GK0949	 	spore coat protein BH2306	865414	864320	 	Geobacillus kaustophilus HTA426	TIGR02906	513.1	
GK0842	 	hypothetical conserved protein	871323	870328	 	Geobacillus kaustophilus HTA426	TIGR02906	2.2	
NT01GK0954	 	spore coat protein homolog ytaA, putative	871323	870328	 	Geobacillus kaustophilus HTA426	TIGR02906	2.2	
GK2597	 	hypothetical protein	2612689	2611745	 	Geobacillus kaustophilus HTA426	TIGR02906	-144.7	
NT01GK2855	 	hypothetical protein	2612689	2611745	 	Geobacillus kaustophilus HTA426	TIGR02906	-144.7	
NT01GK2903	 	CotS-related protein	2657259	2656228	 	Geobacillus kaustophilus HTA426	TIGR02906	-175.5	
GK2640	 	hypothetical conserved protein	2657259	2656228	 	Geobacillus kaustophilus HTA426	TIGR02906	-175.5	
NT01GK3100	 	Protein kinase-like	2852791	2852009	 	Geobacillus kaustophilus HTA426	TIGR02906	-181.3	
NT01GK3267	 	YutH	2993956	2992955	 	Geobacillus kaustophilus HTA426	TIGR02906	-119.8	
GK2966	 	hypothetical conserved protein	2993956	2992955	 	Geobacillus kaustophilus HTA426	TIGR02906	-119.8	
Gmet_0246	 	Aminoglycoside phosphotransferase	276713	277699	 	Geobacter metallireducens GS-15	TIGR02906	-183.0	
NT01GM0262	 	phosphotransferase enzyme family protein	276713	277699	 	Geobacter metallireducens GS-15	TIGR02906	-183.0	
GOX0178	 	Homoserine kinase	194541	193591	2.7.1.39	Gluconobacter oxydans 621H	TIGR02906	-155.3	
NT01GO0211	thrB	homoserine kinase	194541	193591	2.7.1.39	Gluconobacter oxydans 621H	TIGR02906	-155.3	
NT02GB2055	thrB	homoserine kinase	2113654	2114613	2.7.1.39	Granulibacter bethesdensis CGDNIH1	TIGR02906	-167.3	
GbCGDNIH1_1876	 	homoserine kinase	2113654	2114613	2.7.1.39	Granulibacter bethesdensis CGDNIH1	TIGR02906	-167.3	
NT04HI1558	 	choline kinase [imported], putative	1486666	1485707	 	Haemophilus influenzae 86 028NP	TIGR02906	-153.7	
NTHI1597	licA	choline kinase involved in LOS biosynthesis; Similar to: HI1537, LIA2_HAEIN	1486666	1485707	 	Haemophilus influenzae 86 028NP	TIGR02906	-153.7	
HI_1537	licA	lic-1 operon protein	1608782	1609585	 	Haemophilus influenzae KW20 Rd	TIGR02906	-154.1	
NT04HS1591	 	LicA	1655374	1654571	 	Haemophilus somnus 129PT	TIGR02906	-184.7	
HS_1461	licA	LicA protein	1655374	1654571	 	Haemophilus somnus 129PT	TIGR02906	-177.0	
NT01HC0114	 	YihE	128393	129397	 	Hahella chejuensis KCTC 2396	TIGR02906	-179.1	
HCH_00117	 	putative homoserine kinase type II (protein kinase fold)	128393	129397	 	Hahella chejuensis KCTC 2396	TIGR02906	-179.1	
NT01HC6004	thrB	homoserine kinase	6487201	6486236	2.7.1.39	Hahella chejuensis KCTC 2396	TIGR02906	-168.0	
HCH_06348	thrB	homoserine kinase	6487201	6486236	2.7.1.39	Hahella chejuensis KCTC 2396	TIGR02906	-168.0	
NT01IL2655	 	unnamed protein product	2764293	2763289	 	Idiomarina loihiensis L2TR	TIGR02906	-157.8	
IL2572	 	Homoserine kinase type II homolog	2764293	2763289	 	Idiomarina loihiensis L2TR	TIGR02906	-157.8	
NT01JS1460	 	aminoglycoside phosphotransferase	1345780	1344845	 	Jannaschia sp. CCS1	TIGR02906	-178.3	
Jann_1376	 	aminoglycoside phosphotransferase	1345780	1344845	 	Jannaschia sp. CCS1	TIGR02906	-178.3	
GKPORF_B3510	 	protein RdoA	3544495	3545481	 	Klebsiella pneumoniae Kp342	TIGR02906	-167.8	
NT02LD0272	 	hypothetical protein	247895	250204	 	Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	TIGR02906	-203.7	
NT02LD0305	 	serine/threonine protein kinase and beta-lactam (pasta) domains taxon:321956	276658	277995	 	Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	TIGR02906	-202.2	
NT02LD1711	 	Type III restriction enzyme, res subunit family	1540192	1543332	 	Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	TIGR02906	-196.1	
LSL_0480	 	Phosphotransferase enzyme family	528412	529200	 	Lactobacillus salivarius subsp. salivarius UCC118	TIGR02906	-187.0	
NT02LS0556	 	aminoglycoside phosphotransferase	528412	529200	 	Lactobacillus salivarius subsp. salivarius UCC118	TIGR02906	-187.0	
NT03LI1721	 	homoserine kinase type II	1750395	1749349	 	Leptospira interrogans Copenhageni Fiocruz L1-130	TIGR02906	-168.1	
LIC_11422	 	homoserine kinase type II	1750395	1749349	 	Leptospira interrogans Copenhageni Fiocruz L1-130	TIGR02906	-168.1	
NT03LI3729	 	conserved hypothetical protein	3804223	3803228	 	Leptospira interrogans Copenhageni Fiocruz L1-130	TIGR02906	-170.1	
LIC_13109	 	conserved hypothetical protein	3804223	3803228	 	Leptospira interrogans Copenhageni Fiocruz L1-130	TIGR02906	-170.1	
LA2552	 	conserved hypothetical protein	2536843	2537889	 	Leptospira interrogans serovar lai str. 56601	TIGR02906	-168.1	
NT02LI2866	 	conserved hypothetical protein	2536924	2537889	 	Leptospira interrogans serovar lai str. 56601	TIGR02906	-168.1	
LA3892	 	unknown protein	3860079	3859084	 	Leptospira interrogans serovar lai str. 56601	TIGR02906	-170.7	
NT02LI4431	 	conserved hypothetical protein	3860079	3859084	 	Leptospira interrogans serovar lai str. 56601	TIGR02906	-170.7	
NT02LM0608	 	fructosamine-3-kinase taxon:203120	634619	635461	 	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	TIGR02906	-206.8	
NT02LM0873	 	HTH domain family	931299	933293	 	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	TIGR02906	-203.5	
NT02LM1816	 	ATPase component of ABC transporter with duplicated ATPase domains taxon:203120	1884647	1883091	 	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	TIGR02906	-206.1	
lin1657	 	similar to unknown proteins	1667429	1666647	 	Listeria innocua CLIP 11262	TIGR02906	-151.7	
NT01LI1719	 	conserved hypothetical protein	1667429	1666647	 	Listeria innocua CLIP 11262	TIGR02906	-151.7	
lin2190	 	lin2190	2208621	2207728	 	Listeria innocua CLIP 11262	TIGR02906	-179.7	
NT01LI2273	 	Aminoglycoside phosphotransferase family	2208621	2207728	 	Listeria innocua CLIP 11262	TIGR02906	-179.7	
NT01LW0634	 	ABC-2 type transporter family	654582	657272	 	Listeria welshimeri serovar 6b str. SLCC5334	TIGR02906	-200.9	
NT01LW0709	 	methyl-accepting chemotaxis protein, putative taxon:386043	717684	719492	 	Listeria welshimeri serovar 6b str. SLCC5334	TIGR02906	-201.2	
NT01LW1463	 	pyridine nucleotide-disulfide oxidoreductase family protein taxon:386043	1446566	1445226	 	Listeria welshimeri serovar 6b str. SLCC5334	TIGR02906	-196.4	
NT01LW1645	 	phosphotransferase enzyme family protein taxon:265669	1638078	1637296	 	Listeria welshimeri serovar 6b str. SLCC5334	TIGR02906	-170.9	
NT01LW2010	 	ATPase, histidine kinase-, DNA gyrase B-, and HSP90-like domain protein	2002615	2000831	 	Listeria welshimeri serovar 6b str. SLCC5334	TIGR02906	-201.0	
NT01LW2450	 	HTH domain family	2429738	2428842	 	Listeria welshimeri serovar 6b str. SLCC5334	TIGR02906	-207.1	
NT01LW2768	 	ABC transporter, ATP-binding protein taxon:386043	2742469	2740847	 	Listeria welshimeri serovar 6b str. SLCC5334	TIGR02906	-203.5	
Meso_0749	 	homoserine kinase	824576	825544	 	Mesorhizobium sp. BNC1	TIGR02906	-110.7	
NT05MS0816	thrB	homoserine kinase	824576	825544	2.7.1.39	Mesorhizobium sp. BNC1	TIGR02906	-110.7	
MJ_0138	 	conserved hypothetical protein	136564	135116	 	Methanococcus jannaschii DSM2661	TIGR02906	-200.5	
MJ_1111	cca	tRNA nucleotidyltransferase	1053884	1052535	 	Methanococcus jannaschii DSM2661	TIGR02906	-204.2	
MJ_1428	 	conserved hypothetical protein	1397638	1399341	 	Methanococcus jannaschii DSM2661	TIGR02906	-196.9	
MJ_1494	 	protease regulatory subunit, putative	1468345	1467230	 	Methanococcus jannaschii DSM2661	TIGR02906	-196.6	
NT09MM0333	 	Domain of unknown function domain protein	290596	292077	 	Methanococcus maripaludis C5	TIGR02906	-202.2	
NT09MM0611	 	aminoglycoside phosphotransferase taxon:402880	567163	566255	 	Methanococcus maripaludis C5	TIGR02906	-198.9	
NT09MM0871	xseA	exodeoxyribonuclease VII, large subunit	825515	826738	3.1.11.6	Methanococcus maripaludis C5	TIGR02906	-202.8	
NT09MM1030	 	transcriptional repressor of nif and GlnA operons taxon:267377	967218	968828	 	Methanococcus maripaludis C5	TIGR02906	-187.9	
NT09MM1269	 	methyl-accepting chemotaxis sensory transducer taxon:402880	1168611	1167898	 	Methanococcus maripaludis C5	TIGR02906	-207.4	
NT09MM1751	 	conserved hypothetical protein	1623425	1624948	 	Methanococcus maripaludis C5	TIGR02906	-205.2	
NT09MMA0002	 	hypothetical protein	3406	794	 	Methanococcus maripaludis C5	TIGR02906	-206.8	
NT03ML1878	 	aminoglycoside phosphotransferase taxon:410358	1783054	1783965	 	Methanocorpusculum labreanum Z	TIGR02906	-198.4	
Msp_0520	 	predicted queuine/archaeosine tRNA-ribosyltransferase	615438	617462	 	Methanosphaera stadtmanae DSM 3091	TIGR02906	-188.0	
NT03MS0515	tgtA	archaeosine tRNA-ribosyltransferase	615453	617462	 	Methanosphaera stadtmanae DSM 3091	TIGR02906	-188.0	
NT06MH1596	 	aminoglycoside phosphotransferase	1507531	1508511	 	Methanospirillum hungatei JF-1	TIGR02906	-180.9	
Mhun_1322	 	aminoglycoside phosphotransferase	1507570	1508511	 	Methanospirillum hungatei JF-1	TIGR02906	-180.9	
NT04MPC3226	 	aminoglycoside phosphotransferase taxon:397945	3357666	3358682	 	Methylibium petroleiphilum PM1	TIGR02906	-205.1	
Mfla_0361	 	homoserine kinase	368037	368996	2.7.1.39	Methylobacillus flagellatus KT	TIGR02906	-133.7	
NT04MF0393	thrB	homoserine kinase	368037	368996	2.7.1.39	Methylobacillus flagellatus KT	TIGR02906	-133.7	
NT04MF1439	 	aminoglycoside phosphotransferase	1367484	1368476	 	Methylobacillus flagellatus KT	TIGR02906	-179.7	
Mfla_1287	 	aminoglycoside phosphotransferase	1367484	1368476	 	Methylobacillus flagellatus KT	TIGR02906	-179.7	
MCAP_0029	 	oxidoreductase, short chain dehydrogenase/reductase family	33810	34568	 	Mycoplasma capricolum subsp capricolum California kid ATCC 27343	TIGR02906	-205.6	
MCAP_0035	metG	methionyl-tRNA synthetase	40240	41769	6.1.1.10	Mycoplasma capricolum subsp capricolum California kid ATCC 27343	TIGR02906	-184.1	
MCAP_0159	alaS	alanyl-tRNA synthetase	195080	192390	6.1.1.7	Mycoplasma capricolum subsp capricolum California kid ATCC 27343	TIGR02906	-194.1	
MCAP_0202	 	spermidine/putrescine ABC transporter, ATP-binding protein	248070	247015	 	Mycoplasma capricolum subsp capricolum California kid ATCC 27343	TIGR02906	-211.3	
MCAP_0362	 	hypothetical protein	449406	446899	 	Mycoplasma capricolum subsp capricolum California kid ATCC 27343	TIGR02906	-201.9	
MCAP_0455	 	helicase, RecD/TraA family, putative	543374	541179	 	Mycoplasma capricolum subsp capricolum California kid ATCC 27343	TIGR02906	-206.4	
MCAP_0484	 	phosphate ABC transporter, permease, putative	578277	576187	 	Mycoplasma capricolum subsp capricolum California kid ATCC 27343	TIGR02906	-205.7	
MCAP_0516	lon	ATP-dependent protease La	625801	623462	3.4.21.53	Mycoplasma capricolum subsp capricolum California kid ATCC 27343	TIGR02906	-209.7	
MCAP_0637	dnaE	DNA-directed DNA polymerase III (polc)	765095	762135	2.7.7.7	Mycoplasma capricolum subsp capricolum California kid ATCC 27343	TIGR02906	-205.2	
MCAP_0796	 	lipoprotein, putative	919653	918301	 	Mycoplasma capricolum subsp capricolum California kid ATCC 27343	TIGR02906	-211.3	
MCAP_0866	 	conserved hypothetical protein	1007173	1006457	 	Mycoplasma capricolum subsp capricolum California kid ATCC 27343	TIGR02906	-180.7	
Nham_3744	 	homoserine kinase	4124419	4123439	2.7.1.39	Nitrobacter hamburgensis X14	TIGR02906	-164.7	
NT01NH4524	thrB	homoserine kinase	4124419	4123439	2.7.1.39	Nitrobacter hamburgensis X14	TIGR02906	-164.7	
Saro_1086	 	homoserine kinase	1129958	1128972	2.7.1.39	Novosphingobium aromaticivorans DSM 12444	TIGR02906	-181.1	
NT01NA1126	thrB	homoserine kinase	1129958	1128972	2.7.1.39	Novosphingobium aromaticivorans DSM 12444	TIGR02906	-181.1	
NT02OC3343	thrB	homoserine kinase	3288493	3287513	2.7.1.39	Oligotropha carboxidovorans none	TIGR02906	-163.1	
Bpro_1727	 	homoserine kinase	1784413	1783463	2.7.1.39	Polaromonas sp. JS666	TIGR02906	-162.3	
NT05PS1827	thrB	homoserine kinase	1784413	1783463	2.7.1.39	Polaromonas sp. JS666	TIGR02906	-162.3	
NT10PM0531	 	precorrin-6x reductase CbiJ/CobK	487312	488109	1.3.1.54	Prochlorococcus marinus str. AS9601	TIGR02906	-201.5	
NT10PM1702	 	kinase, fructosamine/homoserine kinase family taxon:59920	1506603	1507481	 	Prochlorococcus marinus str. AS9601	TIGR02906	-203.5	
NT06PA3940	 	aminoglycoside phosphotransferase	4297563	4298528	 	Pseudoalteromonas atlantica T6c	TIGR02906	-167.3	
Patl_3574	 	aminoglycoside phosphotransferase	4297563	4298528	 	Pseudoalteromonas atlantica T6c	TIGR02906	-167.3	
PSEEN5124	 	conserved hypothetical protein	5439800	5440774	 	Pseudomonas entomophila L48	TIGR02906	-183.2	
NT01PE4938	 	aminoglycoside phosphotransferase	5439800	5440774	 	Pseudomonas entomophila L48	TIGR02906	-183.2	
PSPPH_0261	thrB	homoserine kinase	302957	303907	2.7.1.39	Pseudomonas syringae pv phaseolicola	TIGR02906	-175.3	
PSPPH_4731	 	YihE	5368847	5369821	 	Pseudomonas syringae pv phaseolicola	TIGR02906	-187.4	
NT02PI1053	 	hypothetical protein	909561	907711	 	Pyrobaculum islandicum DSM 4184	TIGR02906	-207.6	
Rmet_2627	 	homoserine kinase	2860222	2861208	 	Ralstonia metallidurans CH34	TIGR02906	-187.4	
NT01RM2741	thrB	homoserine kinase	2860222	2861208	2.7.1.39	Ralstonia metallidurans CH34	TIGR02906	-187.4	
NT02RE1003	thrB	homoserine kinase	1010211	1011176	2.7.1.39	Rhizobium etli CFN 42	TIGR02906	-117.0	
RHE_CH00962	thrB	homoserine kinase protein	1010211	1011176	2.7.1.39	Rhizobium etli CFN 42	TIGR02906	-117.0	
Rfer_1323	 	homoserine kinase	1420624	1419629	2.7.1.39	Rhodoferax ferrireducens DSM 15236	TIGR02906	-162.1	
NT03RF1403	thrB	homoserine kinase	1420624	1419629	2.7.1.39	Rhodoferax ferrireducens DSM 15236	TIGR02906	-162.1	
RPC_4077	 	homoserine kinase	4531312	4530332	2.7.1.39	Rhodopseudomonas palustris BisB18	TIGR02906	-169.8	
NT04RP4328	thrB	homoserine kinase	4531312	4530332	2.7.1.39	Rhodopseudomonas palustris BisB18	TIGR02906	-169.8	
RPD_4029	 	homoserine kinase	4478415	4477435	2.7.1.39	Rhodopseudomonas palustris BisB5	TIGR02906	-158.3	
NT05RP4373	thrB	homoserine kinase	4478415	4477435	2.7.1.39	Rhodopseudomonas palustris BisB5	TIGR02906	-158.3	
RPB_1341	 	homoserine kinase	1527685	1528665	2.7.1.39	Rhodopseudomonas palustris HaA2	TIGR02906	-160.2	
NT03RP1442	thrB	homoserine kinase	1527685	1528665	2.7.1.39	Rhodopseudomonas palustris HaA2	TIGR02906	-160.2	
NT03SD3474	 	YihE	4016182	4017249	 	Saccharophagus degradans 2-40	TIGR02906	-167.8	
Sde_3141	 	KpsF/GutQ	4016182	4017249	 	Saccharophagus degradans 2-40	TIGR02906	-167.8	
NT04SD0322	 	aminoglycoside phosphotransferase	319802	320791	 	Shewanella denitrificans OS217	TIGR02906	-167.5	
Sden_0284	 	aminoglycoside phosphotransferase	319802	320791	 	Shewanella denitrificans OS217	TIGR02906	-167.5	
SO_0332	 	conserved hypothetical protein	334521	335558	 	Shewanella oneidensis MR-1	TIGR02906	-166.9	
SO_0364	 	conserved hypothetical protein	374541	375581	 	Shewanella oneidensis MR-1	TIGR02906	-192.4	
NT11SS3880	 	aminoglycoside phosphotransferase	4317545	4316505	 	Shewanella sp. MR-4	TIGR02906	-181.5	
Shewmr4_3610	 	aminoglycoside phosphotransferase	4317569	4316505	 	Shewanella sp. MR-4	TIGR02906	-181.5	
NT11SS3915	 	aminoglycoside phosphotransferase	4354922	4353885	 	Shewanella sp. MR-4	TIGR02906	-177.1	
Shewmr4_3643	 	aminoglycoside phosphotransferase	4354940	4353885	 	Shewanella sp. MR-4	TIGR02906	-177.1	
NT10SS0318	 	aminoglycoside phosphotransferase taxon:60481	330614	331651	 	Shewanella sp. MR-7	TIGR02906	-167.4	
NT10SS0350	 	aminoglycoside phosphotransferase taxon:60481	368258	369298	 	Shewanella sp. MR-7	TIGR02906	-181.5	
NT10SS3305	 	aminoglycoside phosphotransferase taxon:60481	3691091	3690042	 	Shewanella sp. MR-7	TIGR02906	-198.1	
SFV_3642	yihE	conserved hypothetical protein	3728487	3727579	 	Shigella flexneri 5 str. 8401	TIGR02906	-151.9	
NT04SF4061	 	protein RdoA	3728565	3727579	 	Shigella flexneri 5 str. 8401	TIGR02906	-151.9	
NT01SG6307	 	YihE	3894638	3893655	 	Sodalis glossinidius str. morsitans	TIGR02906	-180.1	
SG2237	 	conserved hypothetical protein	3894638	3893655	 	Sodalis glossinidius str. morsitans	TIGR02906	-180.1	
Sala_1135	 	homoserine kinase	1173516	1172554	2.7.1.39	Sphingopyxis alaskensis RB2256	TIGR02906	-164.5	
NT13SA1198	thrB	homoserine kinase	1173516	1172554	2.7.1.39	Sphingopyxis alaskensis RB2256	TIGR02906	-164.5	
SACOL1799	 	conserved hypothetical protein	1847282	1846491	 	Staphylococcus aureus subsp. aureus COL	TIGR02906	-198.1	
SERP2143	 	fructosamine kinase family protein	2171465	2170608	 	Staphylococcus epidermidis RP62A	TIGR02906	-196.6	
SGO_0540	 	conserved hypothetical protein	584448	585242	 	Streptococcus gordonii Challis NCTC7868	TIGR02906	-200.2	
SGO_1647	 	transcription antiterminator BglG family	1709446	1707557	 	Streptococcus gordonii Challis NCTC7868	TIGR02906	-200.4	
SP_1068	ppc	phosphoenolpyruvate carboxylase	1002527	1005223	4.1.1.31	Streptococcus pneumoniae TIGR4	TIGR02906	-197.1	
SP_1269	pck	choline kinase	1202585	1201797	 	Streptococcus pneumoniae TIGR4	TIGR02906	-200.8	
NT16SP1573	 	phosphotransferase enzyme family	1480368	1479577	 	Streptococcus pyogenes MGAS10270	TIGR02906	-166.3	
MGAS10270_Spy1536	 	Phosphotransferase enzyme family	1480368	1479577	 	Streptococcus pyogenes MGAS10270	TIGR02906	-166.3	
NT17SP1574	 	phosphotransferase enzyme family	1463835	1463044	 	Streptococcus pyogenes MGAS10750	TIGR02906	-166.3	
MGAS10750_Spy1528	 	Phosphotransferase enzyme family	1463835	1463044	 	Streptococcus pyogenes MGAS10750	TIGR02906	-166.3	
NT18SP1545	 	phosphotransferase enzyme family	1445927	1445136	 	Streptococcus pyogenes MGAS2096	TIGR02906	-166.3	
MGAS2096_Spy1494	 	Phosphotransferase enzyme family	1445927	1445136	 	Streptococcus pyogenes MGAS2096	TIGR02906	-166.3	
NT19SP1493	 	phosphotransferase enzyme family	1422037	1421246	 	Streptococcus pyogenes MGAS9429	TIGR02906	-166.3	
MGAS9429_Spy1471	 	phosphotransferase enzyme family	1422037	1421246	 	Streptococcus pyogenes MGAS9429	TIGR02906	-166.3	
SIFV_0007	 	helicase, putative	4246	2441	 	Sulfolobus islandicus filamentous virus (SIFV)	TIGR02906	-226.3	
SIFV_0022	 	helicase, putative	11928	10249	 	Sulfolobus islandicus filamentous virus (SIFV)	TIGR02906	-223.7	
TM_0088	 	comE protein, putative	95150	91293	 	Thermotoga maritima MSB8	TIGR02906	-198.6	
TM_0576	dnaE	DNA polymerase III, alpha subunit	605923	610026	2.7.7.7	Thermotoga maritima MSB8	TIGR02906	-202.5	
TM_1682	 	conserved hypothetical protein	1664560	1662863	 	Thermotoga maritima MSB8	TIGR02906	-190.1	
TDE_0910	 	conserved hypothetical protein	928914	930626	 	Treponema denticola ATCC 35405	TIGR02906	-200.2	
TDE_1260	 	cholinephosphate cytidylyltransferase/choline kinase	1294168	1295736	 	Treponema denticola ATCC 35405	TIGR02906	-149.1	
TDE_1450	 	MutS2 family protein	1495460	1497916	 	Treponema denticola ATCC 35405	TIGR02906	-192.9	
TDE_1893	lepA	GTP-binding protein LepA	1914107	1912302	 	Treponema denticola ATCC 35405	TIGR02906	-198.4	
TDE_2219	 	membrane protein, putative	2260736	2259051	 	Treponema denticola ATCC 35405	TIGR02906	-196.2	
NT02TE0737	 	two-component system sensory histidine kinase	997127	998314	 	Trichodesmium erythraeum IMS101	TIGR02906	-182.8	
Tery_0615	 	response regulator receiver sensor signal transduction histidine kinase	997127	998314	 	Trichodesmium erythraeum IMS101	TIGR02906	-182.8	
YpAngola_A0021	 	putative RdoA protein	20853	21839	 	Yersinia pestis Angola	TIGR02906	-163.3	
NT07YP3784	 	YihE	3939079	3938093	 	Yersinia pestis Antiqua JGI	TIGR02906	-163.3	
YPA_3527	 	hypothetical protein	3939214	3938093	 	Yersinia pestis Antiqua JGI	TIGR02906	-163.3	
NT06YP0288	 	YihE	301778	302764	 	Yersinia pestis Nepal516	TIGR02906	-163.3	
YPN_0242	 	hypothetical protein	301778	302764	 	Yersinia pestis Nepal516	TIGR02906	-163.3	
YpsIP31758_0019	 	putative RdoA protein	20538	21524	 	Yersinia pseudotuberculosis IP 31758	TIGR02906	-163.3	
